iter	MultiClass
0	1.039192716
1	0.9960632964
2	0.960737161
3	0.9311434691
4	0.907175242
5	0.883387715
6	0.8633369432
7	0.8477623119
8	0.8317543248
9	0.8208310284
10	0.8109498722
11	0.7997404091
12	0.7910816384
13	0.7840923736
14	0.777299722
15	0.7718620763
16	0.7648347075
17	0.7582636853
18	0.7518043445
19	0.7477397609
20	0.7423364843
21	0.7385481227
22	0.7348037038
23	0.7320592045
24	0.7296514051
25	0.7259610336
26	0.7234515129
27	0.7207852438
28	0.7184339906
29	0.715353903
30	0.7116920161
31	0.7086599766
32	0.7068028888
33	0.7044171951
34	0.70329357
35	0.7009846443
36	0.699382651
37	0.6974580617
38	0.6959518525
39	0.6939412092
40	0.6924059949
41	0.6912538977
42	0.6896918607
43	0.6880473341
44	0.6860074195
45	0.6846054361
46	0.6813663571
47	0.6801747058
48	0.6789663627
49	0.6762126341
50	0.6751190394
51	0.6741702501
52	0.6725531798
53	0.6705897705
54	0.6688475635
55	0.6678724939
56	0.6670504124
57	0.666416739
58	0.6642235586
59	0.6621839214
60	0.6606712941
61	0.6596388761
62	0.6586899374
63	0.657764623
64	0.6567990497
65	0.6555547391
66	0.6549560138
67	0.6539137597
68	0.6529643212
69	0.6517507779
70	0.650786062
71	0.6496749668
72	0.6486286242
73	0.6481857345
74	0.6476680077
75	0.6466415013
76	0.6461278732
77	0.6455193425
78	0.6444926852
79	0.6436429571
80	0.6431503974
81	0.6420351006
82	0.6413697575
83	0.6409253384
84	0.6398139118
85	0.6393114197
86	0.6379761938
87	0.6375983734
88	0.6367264755
89	0.6363346861
90	0.6352909424
91	0.6341262792
92	0.6332369837
93	0.6326224106
94	0.6317944056
95	0.6312200358
96	0.6301366659
97	0.6289418657
98	0.6284426065
99	0.6274979637
