iter	Passed	Remaining
0	69	6890
1	78	3862
2	87	2821
3	97	2329
4	107	2033
5	116	1824
6	127	1696
7	138	1593
8	148	1503
9	158	1426
10	167	1357
11	176	1291
12	186	1248
13	195	1198
14	205	1162
15	216	1134
16	227	1110
17	238	1085
18	249	1064
19	262	1051
20	278	1046
21	297	1053
22	318	1065
23	340	1079
24	366	1098
25	399	1137
26	434	1173
27	459	1181
28	480	1175
29	503	1174
30	519	1156
31	534	1135
32	547	1110
33	559	1087
34	571	1061
35	583	1037
36	595	1013
37	609	993
38	620	970
39	632	949
40	643	926
41	654	903
42	665	882
43	677	861
44	688	841
45	702	824
46	715	806
47	727	788
48	741	771
49	755	755
50	768	738
51	781	721
52	796	706
53	812	692
54	828	678
55	842	662
56	856	646
57	870	630
58	885	615
59	900	600
60	915	585
61	931	571
62	946	555
63	960	540
64	973	524
65	986	508
66	999	492
67	1014	477
68	1026	461
69	1041	446
70	1054	430
71	1070	416
72	1088	402
73	1109	389
74	1127	375
75	1150	363
76	1169	349
77	1182	333
78	1194	317
79	1208	302
80	1223	287
81	1237	271
82	1250	256
83	1264	240
84	1277	225
85	1292	210
86	1308	195
87	1328	181
88	1343	166
89	1365	151
90	1381	136
91	1396	121
92	1411	106
93	1429	91
94	1448	76
95	1463	60
96	1482	45
97	1497	30
98	1512	15
99	1526	0
